File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
e.bin-Result14Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result14Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result15Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result15Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result16Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result16Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result17Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result17Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result18Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result18Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result19Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
e.bin-Result19Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
